Rio Grande do Sul | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2025],&Aacute;rea Territorial - km&sup2; [2024],Popula&ccedil;&atilde;o no &uacute;ltimo censo - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Popula&ccedil;&atilde;o estimada - pessoas [2025],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2022],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2023],Total de receitas brutas realizadas - R$ [2024],Total de despesas brutas empenhadas - R$ [2024],PIB per capita - R$ [2023],
Arroio do Sal,4301057,arroiossalense,LUCIANO PINTO DA SILVA,119.160,11057,92.79,11418,100,0.740,-,125641853.18,124093425.88,31987.59,
Arroio do Padre,4301073,arroio-padrense,JULIANO HOBUSS BUCHWEITZ,124.693,2599,20.84,2650,98.56,0.669,-,33330999.6,28526647.18,37149.25,
Arroio dos Ratos,4301107,ratense,DARCI RENATO FEITEN,425.791,14601,34.29,14934,99.18,0.698,21.74,85807765.56,90655977.16,27736.77,
Arroio do Tigre,4301206,arroio-tigrense,VANDERLEI HERMES,315.132,12058,38.26,12291,99.29,0.707,20.83,78824906.12,65555082.3,39205.45,
Arroio Grande,4301305,arroio-grandense,PL&Iacute;NIO VIZEU PEREIRA NETO,2508.557,17558,7.00,17879,99.47,0.657,15.63,136678841.3,125840985.32,54989.64,
Arvorezinha,4301404,arvorezinhense,CLOVIS PROVENSI ROMAN,269.310,10322,38.33,10547,98.98,0.694,25.42,70087576.91,64808466.09,39202.88,
Augusto Pestana,4301503,augusto-pestanense,SERGIO LUIS NEUBERGER,348.219,7149,20.53,7303,100,0.743,14.49,59544526.36,54624969.75,49054,
&Aacute;urea,4301552,aureense,GILMAR CARLOS MUSTEFAGA,156.727,3396,21.67,3458,100,0.707,-,39280819.5,33573894.38,52342.65,
Bag&eacute;,4301602,bageense,LUIZ FERNANDO MAINARDI,4090.360,117938,28.83,121928,99.35,0.740,16.65,629182125.62,711846245.68,37432.95,
Balne&aacute;rio Pinhal,4301636,balne&aacute;rio-pinhalense,LUIZ CEZAR DANELLI FURINI,102.387,14955,146.06,15413,98.96,0.696,15.63,107632140.96,97448613.54,22276.77,
Bar&atilde;o,4301651,baronense,JEFFERSON SCHUSTER BORN,122.567,6461,51.79,6496,99.54,0.748,44.12,61801067.41,52371883.33,71646.97,
Bar&atilde;o de Cotegipe,4301701,cotegipense,FRANCIEL TIAGO IZYCKI,260.505,7144,27.42,7320,100,0.719,13.89,50989021.64,47740162.95,45460.37,
Bar&atilde;o do Triunfo,4301750,baronense,ODONE KLOPPEMBURG,436.101,5889,13.50,5972,99,0.610,-,42547643.97,33681836.39,24188.7,
Barrac&atilde;o,4301800,barraconense,LUIZ CARLOS DA SILVA,515.469,4831,9.37,4915,98.9,0.710,37.74,47465342.76,43406778.86,62102,
Barra do Guarita,4301859,guaritense,VALCIER BALESTRIN,62.801,3161,50.33,3231,99.25,0.734,23.26,38194191.83,33528192.97,19953.25,
Barra do Quara&iacute;,4301875,barrense,MAHER JABER MAHMUD,1055.937,4241,4.02,4340,99.37,0.662,-,46333977.59,33363773.39,78422.54,
Barra do Ribeiro,4301909,barrense,JO&Atilde;O FRANCISCO SILVA FEIJO,729.316,12225,16.76,12473,98.89,0.670,-,78383894.38,72019000.82,47529.99,
Barra do Rio Azul,4301925,barrazulense,ANDERSON FERNANDO BAGATINI,146.995,1696,11.54,1721,100,0.723,-,54810519.34,44744066.71,46327.23,
Barra Funda,4301958,barra-fundense,ANDRE SIGNOR,60.437,2498,41.33,2557,100,0.763,-,40439611.06,33458499.63,67006.24,
Barros Cassal,4302006,barros-cassalense,JOVIANO ZAGO,647.994,9296,14.35,9425,98.32,0.650,20.62,59562155.23,55950435.57,29526.03,
Benjamin Constant do Sul,4302055,benjaminense,NILTON JOSE VALENTINI,132.351,2082,15.73,2118,99.21,0.619,55.56,33060806.37,25983482.73,24008.87,
Bento Gon&ccedil;alves,4302105,bento-gon&ccedil;alvense,DIOGO SEGABINAZZI SIQUEIRA,272.287,123151,452.28,127977,98.58,0.778,10.83,765378325.01,787939117.28,73589.32,
Boa Vista das Miss&otilde;es,4302154,boa-vistense,RUDILBERTO SOARES LANDESFELDT,196.064,1933,9.86,1968,99.41,0.676,-,38903202.94,33541717.9,89601.64,
Boa Vista do Buric&aacute;,4302204,boa-vistense,JO&Atilde;O RUDINEI SEHNEM,109.541,6966,63.59,7129,99.49,0.762,11.63,62684296.62,52700228.2,50904.66,
Boa Vista do Cadeado,4302220,cadeadense,JOAO PAULO BELTRAO DOS SANTOS,701.221,2229,3.18,2269,100,0.703,-,45075881.14,37427575.58,121126.48,
Boa Vista do Incra,4302238,boa vistense do incra,GILMAR LAURINDO BELLINI,504.114,2271,4.50,2314,97.35,0.731,-,44542839.87,47084258.31,86745.26,
Boa Vista do Sul,4302253,boavistense,PATRICIA LUCIA BAGATINI,93.108,2779,29.44,2815,100,0.728,43.48,45093672.01,39136075.49,48546.88,
Bom Jesus,4302303,bom-jesuense,FREDERICO ARCARI BECKER,2622.837,11202,4.27,11429,93.89,0.666,-,90286743.12,76624126.82,52972.91,
Bom Princ&iacute;pio,4302352,bom-principiense,VASCO ALEXANDRE BRANDT,90.023,13142,148.23,13665,98.82,0.746,6.85,145877051.43,133814315.57,72364.87,
Bom Progresso,4302378,bom-progressense,NORIMAR LEOPOLDO SCHOSSLER,89.206,2096,23.50,2132,97.67,0.723,-,32366727.07,28972950.31,35111.31,
Bom Retiro do Sul,4302402,bom-retirense,CELSO PAZUCH,102.540,12294,119.89,12587,100,0.739,-,92535489.92,82121470.64,41461.26,
Boqueir&atilde;o do Le&atilde;o,4302451,l&eacute;o-boqueirense,PAULO JOEL FERREIRA,257.789,6247,23.49,6202,98.33,0.700,-,48823539.52,42502736.31,31882.12,
Bossoroca,4302501,bossoroquense,JOAO ALBERTO OURIQUE DO NASCIMENTO,1610.056,5890,3.66,5978,100,0.692,-,65090762.7,58935816.73,42538.23,
Bozano,4302584,bozanense,GEDERSON MORI,200.497,2151,10.73,2195,98.91,0.745,-,32960328.32,30623052.85,55520.54,
Braga,4302600,braguense,SADI ENRIQUE DELLA LIBERA,132.044,3268,24.75,3322,99.36,0.674,33.33,34862455.57,27713811.03,33487.97,
Brochier,4302659,brochiense,JOS&Eacute; HENRIQUE DAPPER,105.353,4966,47.14,5083,100,0.699,-,45723350.34,41423025.03,26634.21,
Buti&aacute;,4302709,butiaense,JEFFERSON SALATIEL DA SILVA VIEIRA,752.187,19084,25.37,19421,100,0.689,10.31,109882783.17,103140165.08,29714.98,
Ca&ccedil;apava do Sul,4302808,ca&ccedil;apavano,MARCELO CORDERO SPODE,3048.147,32515,10.67,33501,99.62,0.704,9.23,192810510.05,205211782.13,36161.85,
Cacequi,4302907,cacequiense,ANA PAULA MENDES MACHADO DELOLMO,2373.507,11157,4.70,11300,99.56,0.700,20.83,97235040.97,95552588.3,50804.25,
